,Date,Commodity,Commodity Details,Measurement,Unit,Unit Details,Domain Category,Value
278,2021-04,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
279,2021-04,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
280,2021-08,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
281,2021-08,BARLEY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,3
282,2021-08,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
283,2021-08,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
284,2021-08,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS)",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED, (S)
285,2021-08,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED, (NA)
286,2021-08,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (S)
287,2021-08,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,221
288,2021-08,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,12
289,2021-08,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,170
290,2021-08,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,240
291,2021-08,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,255
292,2021-08,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,22.8
293,2021-08,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
294,2021-08,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,10
295,2021-08,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
296,2021-08,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
297,2021-12,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
298,2021-12,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
299,2021-12,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
300,2021-12,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS)",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED, (D)
301,2021-12,BEANS,"DRY EDIBLE, INCL CHICKPEAS",SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,9
302,2021-12,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,460
303,2021-12,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
304,2021-12,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,15.7
305,2021-12,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,240
306,2021-12,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,4
307,2021-12,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,205
308,2021-12,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,260
309,2021-12,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,270
310,2021-12,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,30.2
311,2021-12,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
312,2021-12,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,5
313,2021-12,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
314,2021-12,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
315,2021-02,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
316,2021-02,BARLEY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,8
317,2021-02,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
318,2021-02,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
319,2021-02,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS)",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED, (D)
320,2021-02,BEANS,"DRY EDIBLE, INCL CHICKPEAS",SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,10
321,2021-02,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED, (S)
322,2021-02,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
323,2021-02,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,12.9
324,2021-02,GRAPEFRUIT,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"140,000"
325,2021-02,GRAPEFRUIT,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"20,000"
326,2021-02,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,186
327,2021-02,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,4
328,2021-02,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,155
329,2021-02,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,195
330,2021-02,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,220
331,2021-02,LEMONS,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"1,800,000"
332,2021-02,LEMONS,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"700,000"
333,2021-02,ORANGES,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"4,900,000"
334,2021-02,ORANGES,"MID & NAVEL, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"4,400,000"
335,2021-02,ORANGES,"MID & NAVEL, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"1,700,000"
336,2021-02,ORANGES,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"1,800,000"
337,2021-02,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,22.5
338,2021-02,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
339,2021-02,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,11
340,2021-02,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
341,2021-02,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
342,2021-01,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
343,2021-01,BARLEY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,18
344,2021-01,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
345,2021-01,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
346,2021-01,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS)",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED, (D)
347,2021-01,BEANS,"DRY EDIBLE, INCL CHICKPEAS",SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,18
348,2021-01,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,370
349,2021-01,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
350,2021-01,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,10
351,2021-01,GRAPEFRUIT,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"150,000"
352,2021-01,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,179
353,2021-01,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,4
354,2021-01,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,150
355,2021-01,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,190
356,2021-01,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,215
357,2021-01,LEMONS,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"1,600,000"
358,2021-01,LEMONS,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"400,000"
359,2021-01,ORANGES,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"4,900,000"
360,2021-01,ORANGES,"MID & NAVEL, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"4,100,000"
361,2021-01,ORANGES,"MID & NAVEL, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"1,100,000"
362,2021-01,ORANGES,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"1,400,000"
363,2021-01,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,22.8
364,2021-01,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
365,2021-01,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,16
366,2021-01,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
367,2021-01,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
368,2021-07,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
369,2021-07,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
370,2021-07,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
371,2021-07,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS)",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED, (S)
372,2021-07,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED, (NA)
373,2021-07,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
374,2021-07,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,6.1
375,2021-07,GRAPEFRUIT,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"500,000"
376,2021-07,GRAPEFRUIT,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"100,000"
377,2021-07,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,219
378,2021-07,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,12
379,2021-07,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,190
380,2021-07,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,230
381,2021-07,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,260
382,2021-07,LEMONS,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"900,000"
383,2021-07,LEMONS,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"200,000"
384,2021-07,ORANGES,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"1,000,000"
385,2021-07,ORANGES,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"300,000"
386,2021-07,ORANGES,"VALENCIA, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"1,100,000"
387,2021-07,ORANGES,"VALENCIA, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"400,000"
388,2021-07,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,22.7
389,2021-07,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED,7.16
390,2021-07,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,33
391,2021-07,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
392,2021-07,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
393,2021-06,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
394,2021-06,BARLEY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,22
395,2021-06,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
396,2021-06,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
397,2021-06,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS)",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED, (S)
398,2021-06,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED, (NA)
399,2021-06,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
400,2021-06,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,6.8
401,2021-06,GRAPEFRUIT,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"380,000"
402,2021-06,GRAPEFRUIT,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"100,000"
403,2021-06,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,231
404,2021-06,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,17
405,2021-06,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,195
406,2021-06,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,240
407,2021-06,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,255
408,2021-06,LEMONS,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"1,500,000"
409,2021-06,LEMONS,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"300,000"
410,2021-06,ORANGES,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"2,200,000"
411,2021-06,ORANGES,"MID & NAVEL, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"1,300,000"
412,2021-06,ORANGES,"MID & NAVEL, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"1,300,000"
413,2021-06,ORANGES,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"1,400,000"
414,2021-06,ORANGES,"VALENCIA, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"600,000"
415,2021-06,ORANGES,"VALENCIA, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"200,000"
416,2021-06,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,22.5
417,2021-06,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED,7.91
418,2021-06,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,14
419,2021-06,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
420,2021-06,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
421,2021-03,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
422,2021-03,BARLEY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,2
423,2021-03,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
424,2021-03,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
425,2021-03,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS)",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED, (D)
426,2021-03,BEANS,"DRY EDIBLE, INCL CHICKPEAS",SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,2
427,2021-03,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED, (NA)
428,2021-03,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
429,2021-03,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,11.4
430,2021-03,GRAPEFRUIT,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"200,000"
431,2021-03,GRAPEFRUIT,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"40,000"
432,2021-03,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,191
433,2021-03,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,4
434,2021-03,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,160
435,2021-03,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,200
436,2021-03,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,225
437,2021-03,LEMONS,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"2,400,000"
438,2021-03,LEMONS,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"700,000"
439,2021-03,ORANGES,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"5,800,000"
440,2021-03,ORANGES,"MID & NAVEL, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"5,400,000"
441,2021-03,ORANGES,"MID & NAVEL, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"2,000,000"
442,2021-03,ORANGES,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"2,200,000"
443,2021-03,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,22.7
444,2021-03,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
445,2021-03,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,2
446,2021-03,WHEAT,"SPRING, DURUM",PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
447,2021-03,WHEAT,WINTER,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
448,2021-05,BARLEY,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
449,2021-05,BARLEY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,1
450,2021-05,BARLEY,FEED,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (D)
451,2021-05,BARLEY,MALTING,PRICE RECEIVED,$ / BU,,NOT SPECIFIED, (S)
452,2021-05,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS)",PRICE RECEIVED,$ / CWT,,NOT SPECIFIED, (D)
453,2021-05,BEANS,"DRY EDIBLE, INCL CHICKPEAS",SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,32
454,2021-05,COTTON,,GINNED BALES,480 LB BALES,,NOT SPECIFIED,"385,600"
455,2021-05,COTTON,,GINNED BALES,LB / BALE,AVG,NOT SPECIFIED,495.5
456,2021-05,COTTON,,GINNED BALES,RUNNING BALES,,NOT SPECIFIED,"373,550"
457,2021-05,COTTON,,NUMBER OF ACTIVE GINS,,,"BALES GINNED: (1 TO 2,999 RUNNING BALES)",3
458,2021-05,COTTON,,NUMBER OF ACTIVE GINS,,,"BALES GINNED: (10,000 TO 14,999 RUNNING BALES)",2
459,2021-05,COTTON,,NUMBER OF ACTIVE GINS,,,"BALES GINNED: (15,000 TO 19,999 RUNNING BALES)",3
460,2021-05,COTTON,,NUMBER OF ACTIVE GINS,,,"BALES GINNED: (20,000 TO 39,999 RUNNING BALES)",4
461,2021-05,COTTON,,NUMBER OF ACTIVE GINS,,,"BALES GINNED: (40,000 OR MORE RUNNING BALES)",3
462,2021-05,COTTON,,NUMBER OF ACTIVE GINS,,,"BALES GINNED: (5,000 TO 6,999 RUNNING BALES)",1
463,2021-05,COTTON,,NUMBER OF ACTIVE GINS,,,"BALES GINNED: (7,000 TO 9,999 RUNNING BALES)",2
464,2021-05,COTTON,,NUMBER OF ACTIVE GINS,,,NOT SPECIFIED,18
465,2021-05,COTTON,,PRODUCTION,480 LB BALES,,NOT SPECIFIED, (D)
466,2021-05,COTTON,,PRODUCTION,RUNNING BALES,,NOT SPECIFIED,"361,150"
467,2021-05,COTTON,COTTONSEED,PRICE RECEIVED,$ / TON,,NOT SPECIFIED, (NA)
468,2021-05,COTTON,PIMA,GINNED BALES,480 LB BALES,,NOT SPECIFIED,"271,400"
469,2021-05,COTTON,PIMA,GINNED BALES,LB / BALE,AVG,NOT SPECIFIED,495.8
470,2021-05,COTTON,PIMA,GINNED BALES,RUNNING BALES,,NOT SPECIFIED,"262,750"
471,2021-05,COTTON,PIMA,PRODUCTION,480 LB BALES,,NOT SPECIFIED, (D)
472,2021-05,COTTON,PIMA,PRODUCTION,RUNNING BALES,,NOT SPECIFIED,"262,750"
473,2021-05,COTTON,UPLAND,GINNED BALES,480 LB BALES,,NOT SPECIFIED,"114,200"
474,2021-05,COTTON,UPLAND,GINNED BALES,LB / BALE,AVG,NOT SPECIFIED,494.8
475,2021-05,COTTON,UPLAND,GINNED BALES,RUNNING BALES,,NOT SPECIFIED,"110,800"
476,2021-05,COTTON,UPLAND,PRICE RECEIVED,$ / LB,,NOT SPECIFIED, (D)
477,2021-05,COTTON,UPLAND,PRODUCTION,480 LB BALES,,NOT SPECIFIED, (D)
478,2021-05,COTTON,UPLAND,PRODUCTION,RUNNING BALES,,NOT SPECIFIED,"98,400"
479,2021-05,COTTON,UPLAND,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,8.9
480,2021-05,GRAPEFRUIT,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"540,000"
481,2021-05,GRAPEFRUIT,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"60,000"
482,2021-05,HAY,,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,223
483,2021-05,HAY,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,22
484,2021-05,HAY,(EXCL ALFALFA),PRICE RECEIVED,$ / TON,,NOT SPECIFIED,175
485,2021-05,HAY,ALFALFA,PRICE RECEIVED,$ / TON,,NOT SPECIFIED,230
486,2021-05,HAY,"ALFALFA, PREMIUM",PRICE RECEIVED,$ / TON,,NOT SPECIFIED,240
487,2021-05,LEMONS,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"1,800,000"
488,2021-05,LEMONS,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"200,000"
489,2021-05,ORANGES,FRESH MARKET,SALES,BOXES,,NOT SPECIFIED,"4,000,000"
490,2021-05,ORANGES,"MID & NAVEL, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"3,300,000"
491,2021-05,ORANGES,"MID & NAVEL, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"1,100,000"
492,2021-05,ORANGES,PROCESSING,SALES,BOXES,,NOT SPECIFIED,"1,100,000"
493,2021-05,ORANGES,"VALENCIA, FRESH MARKET",SALES,BOXES,,NOT SPECIFIED,"700,000"
494,2021-05,ORANGES,"VALENCIA, PROCESSING",SALES,BOXES,,NOT SPECIFIED,"100,000"
495,2021-05,RICE,MEDIUM-SHORT GRAIN,PRICE RECEIVED,$ / CWT,,NOT SPECIFIED,22.8
496,2021-05,WHEAT,,PRICE RECEIVED,$ / BU,,NOT SPECIFIED,6.67
497,2021-05,WHEAT,,SALES,PCT OF MKTG YEAR,,NOT SPECIFIED,6
