,Date,Commodity,Data Item,Domain,Domain Category,Value,Precip,Temp Max,Temp Min,Wind Speed,Soil Temp Max,Soil Temp Min,Solar,Humidity Max,Humidity Min,day_1_colonies_California,day_1_colonies_United States,lost_colonies_California,lost_colonies_United States,percent_lost_California,percent_lost_United States
25,2021-04,GRAPEFRUIT,"GRAPEFRUIT, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,400000.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
26,2021-04,GRAPEFRUIT,"GRAPEFRUIT, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,100000.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
27,2021-04,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,216.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
28,2021-04,HAY,"HAY - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,3.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
29,2021-04,HAY,"HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,200.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
30,2021-04,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,230.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
31,2021-04,HAY,"HAY, ALFALFA, PREMIUM - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,245.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
32,2021-04,LEMONS,"LEMONS, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,1700000.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
33,2021-04,LEMONS,"LEMONS, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,500000.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
34,2021-04,ORANGES,"ORANGES, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,4900000.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
35,2021-04,ORANGES,"ORANGES, MID & NAVEL, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,5000000.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
36,2021-04,ORANGES,"ORANGES, MID & NAVEL, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,2200000.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
37,2021-04,ORANGES,"ORANGES, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,2100000.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
38,2021-04,ORANGES,"ORANGES, VALENCIA, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,400000.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
39,2021-04,ORANGES,"ORANGES, VALENCIA, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,100000.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
40,2021-04,RICE,"RICE, MEDIUM-SHORT GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,22.4,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
42,2021-04,WHEAT,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,2.0,0.004,78.211,44.94433333333333,0.0,60.800000000000004,58.37766666666666,606.9003333333334,86.73366666666668,26.399999999999995,1090000,2829520,114000,352280,11,12
159,2021-06,BARLEY,"BARLEY - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,22.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
165,2021-06,COTTON,"COTTON, UPLAND - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,6.8,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
166,2021-06,GRAPEFRUIT,"GRAPEFRUIT, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,380000.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
167,2021-06,GRAPEFRUIT,"GRAPEFRUIT, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,100000.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
168,2021-06,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,231.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
169,2021-06,HAY,"HAY - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,17.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
170,2021-06,HAY,"HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,195.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
171,2021-06,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,240.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
172,2021-06,HAY,"HAY, ALFALFA, PREMIUM - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,255.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
173,2021-06,LEMONS,"LEMONS, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,1500000.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
174,2021-06,LEMONS,"LEMONS, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,300000.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
175,2021-06,ORANGES,"ORANGES, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,2200000.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
176,2021-06,ORANGES,"ORANGES, MID & NAVEL, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,1300000.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
177,2021-06,ORANGES,"ORANGES, MID & NAVEL, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,1300000.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
178,2021-06,ORANGES,"ORANGES, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,1400000.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
179,2021-06,ORANGES,"ORANGES, VALENCIA, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,600000.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
180,2021-06,ORANGES,"ORANGES, VALENCIA, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,200000.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
181,2021-06,RICE,"RICE, MEDIUM-SHORT GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,22.5,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
182,2021-06,WHEAT,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,7.91,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
183,2021-06,WHEAT,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,14.0,0.0,93.06099999999999,58.425000000000004,0.0,72.38733333333333,70.454,703.1023333333333,80.00966666666666,26.171333333333333,1090000,2829520,114000,352280,11,12
214,2021-05,BARLEY,"BARLEY - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,1.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
218,2021-05,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,32.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
219,2021-05,COTTON,"COTTON - GINNED BALES, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,385600.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
220,2021-05,COTTON,"COTTON - GINNED BALES, MEASURED IN LB / BALE, AVG",TOTAL,NOT SPECIFIED,495.5,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
221,2021-05,COTTON,"COTTON - GINNED BALES, MEASURED IN RUNNING BALES",TOTAL,NOT SPECIFIED,373550.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
222,2021-05,COTTON,COTTON - NUMBER OF ACTIVE GINS,BALES GINNED,"BALES GINNED: (1 TO 2,999 RUNNING BALES)",3.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
223,2021-05,COTTON,COTTON - NUMBER OF ACTIVE GINS,BALES GINNED,"BALES GINNED: (10,000 TO 14,999 RUNNING BALES)",2.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
224,2021-05,COTTON,COTTON - NUMBER OF ACTIVE GINS,BALES GINNED,"BALES GINNED: (15,000 TO 19,999 RUNNING BALES)",3.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
225,2021-05,COTTON,COTTON - NUMBER OF ACTIVE GINS,BALES GINNED,"BALES GINNED: (20,000 TO 39,999 RUNNING BALES)",4.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
226,2021-05,COTTON,COTTON - NUMBER OF ACTIVE GINS,BALES GINNED,"BALES GINNED: (40,000 OR MORE RUNNING BALES)",3.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
227,2021-05,COTTON,COTTON - NUMBER OF ACTIVE GINS,BALES GINNED,"BALES GINNED: (5,000 TO 6,999 RUNNING BALES)",1.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
228,2021-05,COTTON,COTTON - NUMBER OF ACTIVE GINS,BALES GINNED,"BALES GINNED: (7,000 TO 9,999 RUNNING BALES)",2.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
229,2021-05,COTTON,COTTON - NUMBER OF ACTIVE GINS,TOTAL,NOT SPECIFIED,18.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
231,2021-05,COTTON,"COTTON - PRODUCTION, MEASURED IN RUNNING BALES",TOTAL,NOT SPECIFIED,361150.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
233,2021-05,COTTON,"COTTON, PIMA - GINNED BALES, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,271400.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
234,2021-05,COTTON,"COTTON, PIMA - GINNED BALES, MEASURED IN LB / BALE, AVG",TOTAL,NOT SPECIFIED,495.8,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
235,2021-05,COTTON,"COTTON, PIMA - GINNED BALES, MEASURED IN RUNNING BALES",TOTAL,NOT SPECIFIED,262750.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
237,2021-05,COTTON,"COTTON, PIMA - PRODUCTION, MEASURED IN RUNNING BALES",TOTAL,NOT SPECIFIED,262750.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
238,2021-05,COTTON,"COTTON, UPLAND - GINNED BALES, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,114200.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
239,2021-05,COTTON,"COTTON, UPLAND - GINNED BALES, MEASURED IN LB / BALE, AVG",TOTAL,NOT SPECIFIED,494.8,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
240,2021-05,COTTON,"COTTON, UPLAND - GINNED BALES, MEASURED IN RUNNING BALES",TOTAL,NOT SPECIFIED,110800.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
243,2021-05,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN RUNNING BALES",TOTAL,NOT SPECIFIED,98400.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
244,2021-05,COTTON,"COTTON, UPLAND - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,8.9,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
245,2021-05,GRAPEFRUIT,"GRAPEFRUIT, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,540000.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
246,2021-05,GRAPEFRUIT,"GRAPEFRUIT, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,60000.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
247,2021-05,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,223.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
248,2021-05,HAY,"HAY - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,22.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
249,2021-05,HAY,"HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,175.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
250,2021-05,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,230.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
251,2021-05,HAY,"HAY, ALFALFA, PREMIUM - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,240.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
252,2021-05,LEMONS,"LEMONS, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,1800000.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
253,2021-05,LEMONS,"LEMONS, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,200000.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
254,2021-05,ORANGES,"ORANGES, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,4000000.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
255,2021-05,ORANGES,"ORANGES, MID & NAVEL, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,3300000.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
256,2021-05,ORANGES,"ORANGES, MID & NAVEL, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,1100000.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
257,2021-05,ORANGES,"ORANGES, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,1100000.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
258,2021-05,ORANGES,"ORANGES, VALENCIA, FRESH MARKET - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,700000.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
259,2021-05,ORANGES,"ORANGES, VALENCIA, PROCESSING - SALES, MEASURED IN BOXES",TOTAL,NOT SPECIFIED,100000.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
260,2021-05,RICE,"RICE, MEDIUM-SHORT GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,22.8,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
261,2021-05,WHEAT,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.67,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
262,2021-05,WHEAT,"WHEAT - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,6.0,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
264,2021-05,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.67,0.0,84.95100000000001,51.74166666666667,0.0,65.99266666666666,64.06233333333334,691.4006666666668,78.695,23.825333333333333,1090000,2829520,114000,352280,11,12
46,2021-08,BARLEY,"BARLEY - SALES, MEASURED IN PCT OF MKTG YEAR",TOTAL,NOT SPECIFIED,3.0,0.0003333333333333333,94.04533333333332,58.800999999999995,0.0,74.83333333333333,72.95466666666667,571.5266666666666,85.05499999999999,26.331333333333333,650000,3173390,25000,295660,4,9
52,2021-08,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,221.0,0.0003333333333333333,94.04533333333332,58.800999999999995,0.0,74.83333333333333,72.95466666666667,571.5266666666666,85.05499999999999,26.331333333333333,650000,3173390,25000,295660,4,9
